SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
VK1/AC-031,Australia - Capital Territory,Australian Capital Territory,Mt Rob Roy,1099,3606,149.12861,-35.49500,149.1286,-35.4950,2,0,01/02/2013,31/12/2099,28,03/08/2019,VK1CT/P,
VK1/AC-032,Australia - Capital Territory,Australian Capital Territory,Castle Hill,942,3091,149.03306,-35.48083,149.0331,-35.4808,2,0,01/02/2013,31/12/2099,15,07/08/2016,VK1AD/P,
VK1/AC-033,Australia - Capital Territory,Australian Capital Territory,Bullen Range,925,3035,149.01167,-35.42444,149.0117,-35.4244,2,0,01/02/2013,31/12/2099,32,04/08/2019,VK1MCW/P,
VK1/AC-034,Australia - Capital Territory,Australian Capital Territory,Mt Majura,890,2920,149.18222,-35.23750,149.1822,-35.2375,1,0,01/02/2013,31/12/2099,56,18/08/2019,VK1MCW/P,
VK1/AC-035,Australia - Capital Territory,Australian Capital Territory,One Tree Hill,876,2874,149.09167,-35.14250,149.0917,-35.1425,1,0,01/02/2013,31/12/2099,44,15/11/2019,VK1AT,
VK1/AC-036,Australia - Capital Territory,Australian Capital Territory,Goorooyarroo,872,2861,149.24667,-35.22917,149.2467,-35.2292,1,0,01/02/2013,31/12/2099,28,12/01/2019,VK1AD/P,
VK1/AC-037,Australia - Capital Territory,Australian Capital Territory,Mt Taylor,856,2808,149.07500,-35.37167,149.0750,-35.3717,1,0,01/02/2013,31/12/2099,120,17/08/2019,VK1AD/P,
VK1/AC-038,Australia - Capital Territory,Australian Capital Territory,Tuggeranong Hill,855,2805,149.10806,-35.45333,149.1081,-35.4533,1,0,01/02/2013,31/12/2099,64,30/10/2019,VK1AT,
VK1/AC-039,Australia - Capital Territory,Australian Capital Territory,Yellow Rabbit Hill,855,2805,148.87917,-35.34333,148.8792,-35.3433,1,0,01/02/2013,31/12/2099,44,22/04/2019,VK1MIC,
VK1/AC-040,Australia - Capital Territory,Australian Capital Territory,Mt Ainslie,843,2766,149.15917,-35.26917,149.1592,-35.2692,1,0,01/02/2013,31/12/2099,223,30/09/2019,VK1MIC,
