SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
VK2/SC-015,Australia - NSW,South Coast,Burragate,879,2884,149.6849,-37.0137,149.6849,-37.0137,4,0,01/09/2013,31/12/2099,0,,,
VK2/SC-016,Australia - NSW,South Coast,Mt Owen,870,2854,150.1769,-35.2827,150.1769,-35.2827,4,0,01/09/2013,31/12/2099,0,,,
VK2/SC-017,Australia - NSW,South Coast,Big Jack Mountain,860,2822,149.4603,-36.9283,149.4603,-36.9283,4,0,01/09/2013,31/12/2099,1,17/11/2019,VK2STG,
VK2/SC-018,Australia - NSW,South Coast,Sturgiss Mountain,857,2812,150.1953,-35.2317,150.1953,-35.2317,4,0,01/09/2013,31/12/2099,0,,,
VK2/SC-019,Australia - NSW,South Coast,The Castle,847,2779,150.1988,-35.2967,150.1988,-35.2967,4,0,01/09/2013,31/12/2099,1,14/02/2014,VK2FPJR,
VK2/SC-020,Australia - NSW,South Coast,Mt Dromedary,808,2651,150.0163,-36.2975,150.0163,-36.2975,4,0,01/09/2013,31/12/2099,1,29/06/2014,VK1DI/2,
VK2/SC-021,Australia - NSW,South Coast,Belowra Mountain,806,2644,149.6778,-36.2267,149.6778,-36.2267,4,0,01/09/2013,31/12/2099,0,,,
VK2/SC-022,Australia - NSW,South Coast,Wolumla Peak,778,2552,149.7280,-36.8643,149.7280,-36.8643,4,0,01/09/2013,31/12/2099,6,27/12/2015,VK1DI/2,
VK2/SC-023,Australia - NSW,South Coast,Mt Poole,775,2543,149.5157,-37.1995,149.5157,-37.1995,4,0,01/09/2013,31/12/2099,0,,,
VK2/SC-024,Australia - NSW,South Coast,Talaterang Mountain,770,2526,150.2710,-35.2776,150.2710,-35.2776,4,0,01/09/2013,31/12/2099,0,,,
VK2/SC-025,Australia - NSW,South Coast,Mumbulla Mountain,760,2493,149.8656,-36.5445,149.8656,-36.5445,4,0,01/09/2013,31/12/2099,3,15/11/2014,VK2IB/P,
VK2/SC-026,Australia - NSW,South Coast,Wirritin Mountain,755,2477,150.0903,-35.3493,150.0903,-35.3493,4,0,01/09/2013,31/12/2099,0,,,
VK2/SC-027,Australia - NSW,South Coast,Nelson Creek Fire Trail,750,2461,149.6769,-36.4860,149.6769,-36.4860,4,0,01/09/2013,31/12/2099,0,,,
VK2/SC-028,Australia - NSW,South Coast,Wamban,740,2428,149.9264,-35.9952,149.9264,-35.9952,4,0,01/09/2013,31/12/2099,0,,,
VK2/SC-029,Australia - NSW,South Coast,Mongamulla Mountain,740,2428,149.7985,-35.8314,149.7985,-35.8314,4,0,01/09/2013,31/12/2099,1,01/10/2017,VK2HRX,
VK2/SC-030,Australia - NSW,South Coast,Mt Walimma,722,2369,149.4944,-37.2833,149.4944,-37.2833,4,0,01/09/2013,31/12/2099,0,,,
VK2/SC-031,Australia - NSW,South Coast,Bruin Mountain,720,2362,149.4756,-36.9625,149.4756,-36.9625,4,0,01/09/2013,31/12/2099,0,,,
VK2/SC-032,Australia - NSW,South Coast,Buckenbowra,720,2362,149.9604,-35.6821,149.9604,-35.6821,4,0,01/09/2013,31/12/2099,0,,,
VK2/SC-033,Australia - NSW,South Coast,Pigeon House Mountain,719,2359,150.2651,-35.3488,150.2651,-35.3488,4,0,01/09/2013,31/12/2099,2,31/05/2015,VK1DI/2,
VK2/SC-034,Australia - NSW,South Coast,Little Jingera Peaks,708,2323,149.6224,-36.9541,149.6224,-36.9541,4,0,01/09/2013,31/12/2099,0,,,
VK2/SC-035,Australia - NSW,South Coast,Cabbage Tree Fire Trail,700,2297,149.9824,-35.5911,149.9824,-35.5911,4,0,01/09/2013,31/12/2099,6,19/12/2015,VK1DI/2,
VK2/SC-036,Australia - NSW,South Coast,Murrabrine Mountain,690,2264,149.7987,-36.4187,149.7987,-36.4187,2,0,01/09/2013,31/12/2099,0,,,
VK2/SC-037,Australia - NSW,South Coast,Winbenby Mountain,690,2264,149.8031,-35.8117,149.8031,-35.8117,2,0,01/09/2013,31/12/2099,0,,,
VK2/SC-038,Australia - NSW,South Coast,Gollarribee Mountain,680,2231,149.9798,-35.7605,149.9798,-35.7605,2,0,01/09/2013,31/12/2099,1,26/11/2016,VK1MBE,
VK2/SC-039,Australia - NSW,South Coast,Mares Hill,650,2133,150.1298,-35.4186,150.1298,-35.4186,2,0,01/09/2013,31/12/2099,2,17/05/2014,VK2DMT,
VK2/SC-040,Australia - NSW,South Coast,Bolaro Mountain,640,2100,150.0388,-35.6687,150.0388,-35.6687,2,0,01/09/2013,31/12/2099,2,27/09/2014,VK2MWP,
VK2/SC-041,Australia - NSW,South Coast,Skink Trail,610,2001,149.6926,-37.1441,149.6926,-37.1441,2,0,01/09/2013,31/12/2099,2,01/01/2015,VK3XL/2,
VK2/SC-042,Australia - NSW,South Coast,Wandera Mountain,590,1936,150.0055,-35.7953,150.0055,-35.7953,2,0,01/09/2013,31/12/2099,6,26/11/2016,VK1MBE,
VK2/SC-043,Australia - NSW,South Coast,Mt Bobendoura,583,1913,149.6389,-36.8190,149.6389,-36.8190,2,0,01/09/2013,31/12/2099,0,,,
VK2/SC-044,Australia - NSW,South Coast,Jeffers Mountain,549,1801,149.8802,-36.2864,149.8802,-36.2864,2,0,01/09/2013,31/12/2099,0,,,
VK2/SC-045,Australia - NSW,South Coast,Little Brown Mountain,540,1772,149.5586,-36.5914,149.5586,-36.5914,2,0,01/09/2013,31/12/2099,1,24/02/2014,VK2TWR/P,
VK2/SC-046,Australia - NSW,South Coast,Byangee Mountain,525,1722,150.2152,-35.3050,150.2152,-35.3050,2,0,01/09/2013,31/12/2099,0,,,
VK2/SC-047,Australia - NSW,South Coast,Mt Harriett,514,1686,149.6261,-36.7922,149.6261,-36.7922,2,0,01/09/2013,31/12/2099,0,,,
VK2/SC-048,Australia - NSW,South Coast,Narira Mountain,430,1411,149.8855,-36.3402,149.8855,-36.3402,1,0,01/09/2013,31/12/2099,0,,,
VK2/SC-049,Australia - NSW,South Coast,Mogood,385,1263,150.1720,-35.4850,150.1720,-35.4850,1,0,01/09/2013,31/12/2099,4,09/03/2019,VK1DI/2,
VK2/SC-050,Australia - NSW,South Coast,Boyne,370,1214,150.3206,-35.4522,150.3206,-35.4522,1,0,01/09/2013,31/12/2099,7,11/03/2017,VK1MBE,
VK2/SC-051,Australia - NSW,South Coast,Durras Mountain,285,935,150.3349,-35.5894,150.3349,-35.5894,1,0,01/09/2013,31/12/2099,5,27/05/2018,VK1DI/2,
VK2/SM-001,Australia - NSW,Snowy Mountains,Mt Kosciuszko,2229,7313,148.2633,-36.4560,148.2633,-36.4560,10,3,01/09/2013,31/12/2099,25,22/04/2018,VK2WU,
VK2/SM-002,Australia - NSW,Snowy Mountains,Mt Townsend,2209,7247,148.2587,-36.4228,148.2587,-36.4228,10,3,01/09/2013,31/12/2099,5,22/04/2018,VK2WU,
VK2/SM-003,Australia - NSW,Snowy Mountains,Mt Twynam,2196,7205,148.3147,-36.3922,148.3147,-36.3922,10,3,01/09/2013,31/12/2099,7,10/01/2018,VK/9V1RT,
VK2/SM-004,Australia - NSW,Snowy Mountains,Gungartan,2068,6785,148.4014,-36.2842,148.4014,-36.2842,10,3,01/09/2013,31/12/2099,4,29/12/2015,VK2QR,
VK2/SM-005,Australia - NSW,Snowy Mountains,Mt Tate,2068,6785,148.3539,-36.3533,148.3539,-36.3533,10,3,01/09/2013,31/12/2099,2,09/10/2015,VK2TWR/P,
VK2/SM-006,Australia - NSW,Snowy Mountains,Mt Jagungal,2061,6762,148.3875,-36.1483,148.3875,-36.1483,10,3,01/09/2013,31/12/2099,5,11/03/2016,VK2QR,
VK2/SM-007,Australia - NSW,Snowy Mountains,Mt Perisher,2054,6739,148.3858,-36.4092,148.3858,-36.4092,10,3,01/09/2013,31/12/2099,22,03/01/2019,VK1DI/2,
VK2/SM-008,Australia - NSW,Snowy Mountains,Drift Hill,1931,6335,148.3611,-36.5125,148.3611,-36.5125,10,3,01/09/2013,31/12/2099,1,28/09/2014,VK2TWR/P,
VK2/SM-009,Australia - NSW,Snowy Mountains,VK2/SM-009,1920,6299,148.3350,-36.5247,148.3350,-36.5247,10,3,01/09/2013,31/12/2099,1,03/08/2014,VK2SWD,
VK2/SM-010,Australia - NSW,Snowy Mountains,The Chimneys,1905,6250,148.3333,-36.5475,148.3333,-36.5475,10,3,01/09/2013,31/12/2099,4,07/03/2015,VK1NAM/2,
VK2/SM-011,Australia - NSW,Snowy Mountains,Mt Morgan,1874,6148,148.7825,-35.7369,148.7825,-35.7369,10,3,01/09/2013,31/12/2099,1,08/11/2015,VK1FJAW/2,
VK2/SM-012,Australia - NSW,Snowy Mountains,Gray Mare,1869,6132,148.2889,-36.2561,148.2889,-36.2561,10,3,01/09/2013,31/12/2099,4,24/02/2016,VK2QR,
VK2/SM-013,Australia - NSW,Snowy Mountains,VK2/SM-013,1865,6119,148.3808,-36.5044,148.3808,-36.5044,10,3,01/09/2013,31/12/2099,1,28/09/2014,VK2TWR/P,
VK2/SM-014,Australia - NSW,Snowy Mountains,The Cascades,1840,6037,148.2692,-36.5533,148.2692,-36.5533,10,3,01/09/2013,31/12/2099,18,13/03/2018,VK2NU/P,
VK2/SM-015,Australia - NSW,Snowy Mountains,The Pilot,1831,6007,148.2058,-36.7542,148.2058,-36.7542,10,3,01/09/2013,31/12/2099,1,13/12/2014,VK3JSN/P,
VK2/SM-016,Australia - NSW,Snowy Mountains,Half Moon Peak,1824,5984,148.7675,-35.7394,148.7675,-35.7394,10,3,01/09/2013,31/12/2099,1,07/02/2016,VK1FJAW/2,
VK2/SM-017,Australia - NSW,Snowy Mountains,Burrungubugge Range,1790,5873,148.4950,-36.2339,148.4950,-36.2339,10,3,01/09/2013,31/12/2099,1,20/03/2016,VK2TWR/P,
VK2/SM-018,Australia - NSW,Snowy Mountains,Paradise Hill,1785,5856,148.3050,-36.6106,148.3050,-36.6106,10,3,01/09/2013,31/12/2099,1,02/11/2014,VK2TWR/P,
VK2/SM-019,Australia - NSW,Snowy Mountains,Tabletop Mountain,1784,5853,148.5075,-35.9739,148.5075,-35.9739,10,3,01/09/2013,31/12/2099,5,07/04/2017,VK2QR,
VK2/SM-020,Australia - NSW,Snowy Mountains,Mt Stony,1768,5801,148.3683,-36.5800,148.3683,-36.5800,10,3,01/09/2013,31/12/2099,1,04/07/2015,VK2TWR/P,
VK2/SM-021,Australia - NSW,Snowy Mountains,Mt Hudson,1763,5784,148.5517,-36.1053,148.5517,-36.1053,10,3,01/09/2013,31/12/2099,6,07/04/2017,VK2QR,
VK2/SM-022,Australia - NSW,Snowy Mountains,Round Mountain 1,1756,5761,148.3617,-36.0450,148.3617,-36.0450,10,3,01/09/2013,31/12/2099,11,06/04/2017,VK2QR,
VK2/SM-023,Australia - NSW,Snowy Mountains,Far Bald Mountain,1750,5741,148.4606,-36.0442,148.4606,-36.0442,10,3,01/09/2013,31/12/2099,6,07/04/2017,VK2QR,
VK2/SM-024,Australia - NSW,Snowy Mountains,Tantangara Mountain,1745,5725,148.5658,-35.8747,148.5658,-35.8747,10,3,01/09/2013,31/12/2099,10,12/01/2018,VK3MCD/P2,
VK2/SM-025,Australia - NSW,Snowy Mountains,The Dargals,1727,5666,148.2219,-36.1033,148.2219,-36.1033,10,3,01/09/2013,31/12/2099,2,30/11/2015,VK2QR,
VK2/SM-026,Australia - NSW,Snowy Mountains,Yaouk Peak,1725,5659,148.8631,-35.8583,148.8631,-35.8583,10,3,01/09/2013,31/12/2099,2,08/07/2015,VK2TWR/P,
VK2/SM-027,Australia - NSW,Snowy Mountains,Mt Nungar,1710,5610,148.6500,-35.8392,148.6500,-35.8392,10,3,01/09/2013,31/12/2099,16,21/05/2017,VK1RX,
VK2/SM-028,Australia - NSW,Snowy Mountains,Dargals Range,1672,5486,148.2542,-36.1942,148.2542,-36.1942,10,3,01/09/2013,31/12/2099,4,19/12/2017,VK2QR,
VK2/SM-029,Australia - NSW,Snowy Mountains,Alpine Hill,1663,5456,148.5689,-35.9217,148.5689,-35.9217,10,3,01/09/2013,31/12/2099,6,04/07/2016,VK2QR,
VK2/SM-030,Australia - NSW,Snowy Mountains,Inkbottle Hill,1648,5407,148.2481,-36.1392,148.2481,-36.1392,10,3,01/09/2013,31/12/2099,1,30/11/2015,VK2QR,
VK2/SM-031,Australia - NSW,Snowy Mountains,Munyang Mt,1636,5367,148.5617,-36.2908,148.5617,-36.2908,10,3,01/09/2013,31/12/2099,1,19/03/2016,VK2TWR/P,
VK2/SM-032,Australia - NSW,Snowy Mountains,Big Bugtown Hill,1630,5348,148.7367,-35.8742,148.7367,-35.8742,10,3,01/09/2013,31/12/2099,3,08/07/2015,VK2TWR/P,
VK2/SM-033,Australia - NSW,Snowy Mountains,Blackfellows Hill,1620,5315,148.6139,-35.8533,148.6139,-35.8533,10,3,01/09/2013,31/12/2099,20,15/03/2018,VK2NU/P,
VK2/SM-034,Australia - NSW,Snowy Mountains,Mt Nattung,1618,5308,148.6056,-35.7092,148.6056,-35.7092,10,3,01/09/2013,31/12/2099,4,20/05/2016,VK2HRX,
VK2/SM-035,Australia - NSW,Snowy Mountains,Tinderrry Peak,1618,5308,149.2716,-35.6983,149.2716,-35.6983,10,3,01/09/2013,31/12/2099,1,14/10/2015,VK2TWR,
VK2/SM-036,Australia - NSW,Snowy Mountains,VK2/SM-036,1612,5289,148.6364,-35.8833,148.6364,-35.8833,10,3,01/09/2013,31/12/2099,37,13/10/2019,VK1MCW/2,
VK2/SM-037,Australia - NSW,Snowy Mountains,Peak Back Ridge,1605,5266,148.6067,-35.7408,148.6067,-35.7408,10,3,01/09/2013,31/12/2099,4,14/04/2016,VK2QR,
VK2/SM-038,Australia - NSW,Snowy Mountains,Skains Mountain,1601,5253,148.6058,-35.6417,148.6058,-35.6417,10,3,01/09/2013,31/12/2099,11,30/12/2016,VK3MCD/2,
VK2/SM-039,Australia - NSW,Snowy Mountains,Whites Hill,1597,5240,148.6300,-35.6839,148.6300,-35.6839,10,3,01/09/2013,31/12/2099,2,01/01/2015,VK2TWR/P,
VK2/SM-040,Australia - NSW,Snowy Mountains,VK2/SM-040,1589,5213,148.5397,-36.2892,148.5397,-36.2892,10,3,01/09/2013,31/12/2099,1,19/03/2016,VK2TWR/P,
VK2/SM-041,Australia - NSW,Snowy Mountains,Black Cow Peak,1587,5207,148.8917,-35.8994,148.8917,-35.8994,10,3,01/09/2013,31/12/2099,2,08/07/2015,VK2TWR/P,
VK2/SM-042,Australia - NSW,Snowy Mountains,Round Mountain 3,1582,5190,148.4389,-36.5342,148.4389,-36.5342,10,3,01/09/2013,31/12/2099,2,04/07/2015,VK2TWR/P,
VK2/SM-043,Australia - NSW,Snowy Mountains,Round Mountain 2,1579,5180,148.5742,-36.2436,148.5742,-36.2436,10,3,01/09/2013,31/12/2099,1,05/10/2014,VK2TWR/P,
VK2/SM-044,Australia - NSW,Snowy Mountains,Tinderry Twin Peak,1560,5118,149.2644,-35.6775,149.2644,-35.6775,10,3,01/09/2013,31/12/2099,1,14/10/2015,VK2TWR/P,
VK2/SM-045,Australia - NSW,Snowy Mountains,Kalkite Mountain,1553,5095,148.5958,-36.2867,148.5958,-36.2867,10,3,01/09/2013,31/12/2099,2,27/03/2016,VK2TWR/P,
VK2/SM-046,Australia - NSW,Snowy Mountains,VK2/SM-046,1534,5033,148.4721,-36.4333,148.4721,-36.4333,10,3,01/09/2013,31/12/2099,3,23/01/2015,VK2TWR/P,
VK2/SM-047,Australia - NSW,Snowy Mountains,Mt Youngal,1516,4974,148.1188,-36.3949,148.1188,-36.3949,10,3,01/09/2013,31/12/2099,5,19/12/2017,VK2QR,
VK2/SM-048,Australia - NSW,Snowy Mountains,VK2/SM-048,1505,4938,149.2758,-35.6609,149.2758,-35.6609,10,3,01/09/2013,31/12/2099,0,,,
VK2/SM-049,Australia - NSW,Snowy Mountains,Mt Tumanang,1476,4843,149.4705,-35.7488,149.4705,-35.7488,8,3,01/09/2013,31/12/2099,24,18/08/2019,VK1VIC,
VK2/SM-050,Australia - NSW,Snowy Mountains,VK2/SM-050,1472,4829,148.1858,-36.4756,148.1858,-36.4756,8,3,01/09/2013,31/12/2099,0,,,
VK2/SM-051,Australia - NSW,Snowy Mountains,Mt Cobrabald,1471,4826,148.6756,-36.1042,148.6756,-36.1042,8,3,01/09/2013,31/12/2099,9,07/04/2017,VK2QR,
VK2/SM-052,Australia - NSW,Snowy Mountains,Bald Mountain,1469,4820,149.5112,-35.9482,149.5112,-35.9482,8,3,01/09/2013,31/12/2099,52,13/10/2018,VK1FCLU,
VK2/SM-053,Australia - NSW,Snowy Mountains,VK2/SM-053,1459,4787,148.5175,-36.4767,148.5175,-36.4767,8,3,01/09/2013,31/12/2099,33,19/01/2018,VK3ARR,
VK2/SM-054,Australia - NSW,Snowy Mountains,VK2/SM-054,1450,4757,148.2739,-36.6947,148.2739,-36.6947,8,3,01/09/2013,31/12/2099,0,,,
VK2/SM-055,Australia - NSW,Snowy Mountains,Charcoal Range,1418,4652,148.3781,-36.7317,148.3781,-36.7317,8,3,01/09/2013,31/12/2099,0,,,
VK2/SM-056,Australia - NSW,Snowy Mountains,Thatchers Mountain,1393,4570,148.4239,-36.6597,148.4239,-36.6597,8,3,01/09/2013,31/12/2099,1,14/11/2014,VK2TWR/P,
VK2/SM-057,Australia - NSW,Snowy Mountains,Trig TS3825,1372,4501,148.8125,-36.0786,148.8125,-36.0786,8,3,01/09/2013,31/12/2099,10,02/03/2016,VK2QR,
VK2/SM-058,Australia - NSW,Snowy Mountains,Suggan Buggan Range,1363,4472,148.3450,-36.8250,148.3450,-36.8250,8,3,01/09/2013,31/12/2099,1,14/11/2014,VK2TWR/P,
VK2/SM-059,Australia - NSW,Snowy Mountains,Big Badja Hill,1362,4469,149.5658,-36.0052,149.5658,-36.0052,8,3,01/09/2013,31/12/2099,50,13/10/2018,VK1FCLU,
VK2/SM-060,Australia - NSW,Snowy Mountains,VK2/SM-060,1345,4413,148.1724,-36.5031,148.1724,-36.5031,8,3,01/09/2013,31/12/2099,0,,,
VK2/SM-061,Australia - NSW,Snowy Mountains,Mt Wangrah,1326,4350,149.3338,-35.8867,149.3338,-35.8867,8,3,01/09/2013,31/12/2099,3,22/01/2016,VK2TWR/P,
VK2/SM-062,Australia - NSW,Snowy Mountains,Wallaby Hill,1311,4301,149.3260,-35.8591,149.3260,-35.8591,8,3,01/09/2013,31/12/2099,5,22/01/2016,VK2TWR/P,
VK2/SM-063,Australia - NSW,Snowy Mountains,Wattle Hill,1305,4281,148.6408,-36.2600,148.6408,-36.2600,8,3,01/09/2013,31/12/2099,9,02/01/2016,VK3PF/2,
VK2/SM-064,Australia - NSW,Snowy Mountains,Jillamatong Hill,1262,4140,148.5739,-36.5058,148.5739,-36.5058,8,3,01/09/2013,31/12/2099,11,03/03/2016,VK2QR,
VK2/SM-065,Australia - NSW,Snowy Mountains,Box Ridge,1260,4134,148.6314,-36.5856,148.6314,-36.5856,8,3,01/09/2013,31/12/2099,19,04/01/2019,VK1DI/2,
VK2/SM-066,Australia - NSW,Snowy Mountains,Byadbo Range,1250,4101,148.5313,-36.8613,148.5313,-36.8613,8,3,01/09/2013,31/12/2099,5,15/01/2016,VK2TWR/P,
VK2/SM-067,Australia - NSW,Snowy Mountains,Numeralla Mountain,1237,4058,149.4024,-36.1969,149.4024,-36.1969,8,3,01/09/2013,31/12/2099,4,22/01/2016,VK2TWR/P,
VK2/SM-068,Australia - NSW,Snowy Mountains,The Peak,1230,4035,149.1653,-36.4416,149.1653,-36.4416,8,3,01/09/2013,31/12/2099,24,05/07/2018,VK1DA,
VK2/SM-069,Australia - NSW,Snowy Mountains,Dangelong Ridge,1230,4035,149.3510,-36.4118,149.3510,-36.4118,8,3,01/09/2013,31/12/2099,3,02/02/2015,VK2TWR/P,
VK2/SM-070,Australia - NSW,Snowy Mountains,Point 1219,1219,3999,148.5403,-36.8153,148.5403,-36.8153,8,3,01/09/2013,31/12/2099,2,14/01/2016,VK2TWR/P,
VK2/SM-071,Australia - NSW,Snowy Mountains,VK2/SM-071,1203,3947,148.7223,-36.9642,148.7223,-36.9642,8,3,01/09/2013,31/12/2099,2,26/09/2015,VK2TWR/P,
VK2/SM-072,Australia - NSW,Snowy Mountains,Trig TS3568,1183,3881,148.7539,-36.6161,148.7539,-36.6161,6,0,01/09/2013,31/12/2099,2,07/06/2015,VK2TWR/P,
VK2/SM-073,Australia - NSW,Snowy Mountains,Black Jack Mountain,1179,3868,148.6300,-36.7853,148.6300,-36.7853,6,0,01/09/2013,31/12/2099,0,,,
VK2/SM-074,Australia - NSW,Snowy Mountains,VK2/SM-074,1170,3839,149.0589,-36.0297,149.0589,-36.0297,6,0,01/09/2013,31/12/2099,0,,,
VK2/SM-075,Australia - NSW,Snowy Mountains,Wog Wog Mountain,1139,3737,149.4306,-37.0941,149.4306,-37.0941,6,0,01/09/2013,31/12/2099,1,14/05/2014,VK2TWR/P,
VK2/SM-076,Australia - NSW,Snowy Mountains,VK2/SM-076,1132,3714,148.1683,-36.1897,148.1683,-36.1897,6,0,01/09/2013,31/12/2099,1,21/07/2015,VK2QR,
VK2/SM-077,Australia - NSW,Snowy Mountains,VK2/SM-077,1127,3698,148.6718,-36.9063,148.6718,-36.9063,6,0,01/09/2013,31/12/2099,3,16/09/2014,VK2QR/P,
VK2/SM-078,Australia - NSW,Snowy Mountains,Mt Colinton,1118,3668,149.1940,-35.8676,149.1940,-35.8676,6,0,01/09/2013,31/12/2099,1,07/05/2014,VK2TWR/P,
VK2/SM-079,Australia - NSW,Snowy Mountains,VK2/SM-079,1110,3642,148.8837,-36.9669,148.8837,-36.9669,6,0,01/09/2013,31/12/2099,1,17/05/2014,VK2TWR/P,
VK2/SM-080,Australia - NSW,Snowy Mountains,Mount Buckland,1106,3629,148.8354,-36.9925,148.8354,-36.9925,6,0,01/09/2013,31/12/2099,1,17/05/2014,VK2TWR/P,
VK2/SM-081,Australia - NSW,Snowy Mountains,Coolangubra Mountain,1105,3625,149.3943,-36.9839,149.3943,-36.9839,6,0,01/09/2013,31/12/2099,3,07/01/2015,VK3XL/2,
VK2/SM-082,Australia - NSW,Snowy Mountains,VK2/SM-082,1100,3609,149.3982,-37.0495,149.3982,-37.0495,6,0,01/09/2013,31/12/2099,1,14/05/2014,VK2TWR/P,
VK2/SM-083,Australia - NSW,Snowy Mountains,Pine Hill,1087,3566,148.8927,-36.6839,148.8927,-36.6839,6,0,01/09/2013,31/12/2099,3,07/06/2015,VK2TWR/P,
VK2/SM-084,Australia - NSW,Snowy Mountains,VK2/SM-084,1080,3543,149.0919,-36.0208,149.0919,-36.0208,6,0,01/09/2013,31/12/2099,0,,,
VK2/SM-085,Australia - NSW,Snowy Mountains,Wullwye Hill,1067,3501,148.9141,-36.4772,148.9141,-36.4772,6,0,01/09/2013,31/12/2099,4,07/06/2015,VK2TWR/P,
VK2/SM-086,Australia - NSW,Snowy Mountains,Pheasants Peak,1060,3478,149.4175,-37.0091,149.4175,-37.0091,6,0,01/09/2013,31/12/2099,2,02/01/2015,VK3XL/2,
VK2/SM-087,Australia - NSW,Snowy Mountains,Mt Tennyson,1056,3465,149.1347,-37.1733,149.1347,-37.1733,6,0,01/09/2013,31/12/2099,2,18/04/2017,VK3PF/2,
VK2/SM-088,Australia - NSW,Snowy Mountains,VK2/SM-088,1045,3428,149.1181,-36.1617,149.1181,-36.1617,6,0,01/09/2013,31/12/2099,1,07/05/2014,VK2TWR/P,
VK2/SM-089,Australia - NSW,Snowy Mountains,Iron Doon Range,1025,3363,148.9998,-37.1054,148.9998,-37.1054,6,0,01/09/2013,31/12/2099,3,11/11/2015,VK3MCD/P2,
VK2/SM-090,Australia - NSW,Snowy Mountains,Cathcart Trig TS1437,999,3278,149.4766,-36.8521,149.4766,-36.8521,6,0,01/09/2013,31/12/2099,8,23/11/2019,VK2STG,
VK2/SM-091,Australia - NSW,Snowy Mountains,Pinch Mountain,973,3192,148.4406,-36.8006,148.4406,-36.8006,6,0,01/09/2013,31/12/2099,0,,,
VK2/SM-092,Australia - NSW,Snowy Mountains,Nungatta Mountain,946,3104,149.3558,-37.1864,149.3558,-37.1864,6,0,01/09/2013,31/12/2099,1,14/05/2014,VK2TWR/P,
VK2/SM-093,Australia - NSW,Snowy Mountains,Livingstone Hill,932,3058,149.1489,-35.7408,149.1489,-35.7408,6,0,01/09/2013,31/12/2099,53,21/03/2019,VK1DA/P,
VK2/SM-094,Australia - NSW,Snowy Mountains,Milligans Mountain,930,3051,148.6093,-36.7009,148.6093,-36.7009,6,0,01/09/2013,31/12/2099,0,,,
VK2/SM-095,Australia - NSW,Snowy Mountains,VK2/SM-095,911,2989,148.1102,-36.0703,148.1102,-36.0703,6,0,01/09/2013,31/12/2099,0,,,
VK2/SM-096,Australia - NSW,Snowy Mountains,Tyrells Ridge,726,2382,148.1668,-36.3779,148.1668,-36.3779,4,0,01/09/2013,31/12/2099,1,25/04/2015,VK1ATP/2,
VK2/SM-097,Australia - NSW,Snowy Mountains,Yambulla Peak,686,2251,149.3981,-37.2622,149.3981,-37.2622,2,0,01/09/2013,31/12/2099,0,,,
VK2/SM-098,Australia - NSW,Snowy Mountains,VK2/SM-098,610,2001,148.4147,-36.8458,148.4147,-36.8458,2,0,01/09/2013,31/12/2099,0,,,
VK2/ST-001,Australia - NSW,Southern Tablelands,Mt Cowangerong,1364,4475,149.5123,-35.6614,149.5123,-35.6614,8,3,01/09/2013,31/12/2099,80,19/09/2019,VK2MWP,
VK2/ST-002,Australia - NSW,Southern Tablelands,Mt Lowden,1342,4403,149.5816,-35.5016,149.5816,-35.5016,8,3,01/09/2013,31/12/2099,12,18/08/2016,VK1MBE,
VK2/ST-003,Australia - NSW,Southern Tablelands,Devils Peak,1321,4334,148.8276,-35.2798,148.8276,-35.2798,8,3,01/09/2013,31/12/2099,8,02/12/2016,VK1AD/2,
VK2/ST-004,Australia - NSW,Southern Tablelands,Dingi Dingi Ridge,1311,4301,148.7927,-35.2714,148.7927,-35.2714,8,3,01/09/2013,31/12/2099,24,28/12/2017,VK1DA,
VK2/ST-005,Australia - NSW,Southern Tablelands,Webbs Ridge,1306,4285,148.771,-35.2648,148.7710,-35.2648,8,3,01/09/2013,31/12/2099,53,08/09/2019,VK1AD/2,
VK2/ST-006,Australia - NSW,Southern Tablelands,South Black Range,1263,4144,149.5329,-35.4238,149.5329,-35.4238,8,3,01/09/2013,31/12/2099,63,15/06/2019,VK1DA,
VK2/ST-007,Australia - NSW,Southern Tablelands,Dampier,1244,4081,149.6729,-35.9894,149.6729,-35.9894,8,3,01/09/2013,31/12/2099,24,30/09/2017,VK2HRX,
VK2/ST-008,Australia - NSW,Southern Tablelands,Baldy Range,1235,4052,148.8252,-35.2315,148.8252,-35.2315,8,3,01/09/2013,31/12/2099,40,28/10/2018,VK1BL,
VK2/ST-009,Australia - NSW,Southern Tablelands,Mt Palerang,1234,4049,149.5994,-35.4294,149.5994,-35.4294,8,3,01/09/2013,31/12/2099,23,19/09/2017,VK2JDL/P,
VK2/ST-010,Australia - NSW,Southern Tablelands,Mt Foxlow,1210,3970,149.4018,-35.5419,149.4018,-35.5419,8,3,01/09/2013,31/12/2099,26,19/05/2019,VK1VIC,
VK2/ST-011,Australia - NSW,Southern Tablelands,Mount Campbell,1192,3911,149.1958,-35.5039,149.1958,-35.5039,6,0,01/09/2013,31/12/2099,5,13/03/2016,VK1RX,
VK2/ST-012,Australia - NSW,Southern Tablelands,Gourock,1180,3871,149.643,-35.4926,149.6430,-35.4926,6,0,01/09/2013,31/12/2099,2,10/04/2015,VK1NAM/2,
