Latitude,Longitude,Elevation,SaddleLatitude,SaddleLongitude,Prominence
-10.1825,123.4317,616,-10.4742,123.2658,616
-10.1867,149.9025,5482,-10.2067,149.8417,2841
-10.1908,149.8542,4071,-10.2058,149.8625,722
-10.195,149.9683,5229,-10.2208,149.8867,1657
-10.1967,124.0383,1299,-10.1733,124.0433,620
-10.1975,149.93,4688,-10.2108,149.9475,784
-10.2058,149.7208,2729,-10.19,149.7342,604
-10.2075,149.6808,1689,-10.2142,149.6783,515
-10.2075,149.2942,833,-10.2117,149.3017,676
-10.2075,149.785,3208,-10.1992,149.7883,544
-10.2075,149.1875,1683,-10.1817,149.1758,1503
-10.21,120.4333,2375,-10.17,120.4208,591
-10.2133,150.5458,718,-10.235,150.5467,656
-10.2142,149.1667,1617,-10.2125,149.1733,577
-10.2158,149.6258,1683,-10.225,149.6192,548
-10.2225,150.0133,4832,-10.2342,149.9817,1575
-10.2225,149.6633,2050,-10.2133,149.6375,978
-10.2233,150.0917,4849,-10.2358,150.0408,2199
-10.2233,150.3158,3687,-10.235,150.2058,1981
-10.2233,149.4958,1666,-10.2175,149.4975,521
-10.2283,149.5883,1929,-10.2108,149.5617,558
-10.2342,149.7067,2568,-10.2225,149.7158,1387
-10.2342,149.5275,1614,-10.2183,149.5333,844
-10.2367,150.165,3549,-10.2392,150.1592,613
-10.2467,150.3908,3398,-10.2592,150.3925,685
-10.2483,149.2467,767,-10.2475,149.26,669
-10.255,149.815,1738,-10.2675,149.8125,603
-10.255,150.4433,3129,-10.2608,150.4275,666
-10.2558,142.4833,679,-10.2017,142.5,679
-10.2592,149.4583,1627,-10.2742,149.4475,620
-10.26,150.4108,3438,-10.2408,150.34,1414
-10.2608,149.7558,2824,-10.2392,149.775,1112
-10.2625,123.8383,2194,-10.16,123.9625,1548
-10.2642,149.7358,2303,-10.2675,149.7425,601
-10.265,150.5,2746,-10.265,150.4725,985
-10.2667,149.4033,1555,-10.2683,149.4125,545
-10.2675,149.3233,1551,-10.2508,149.3208,1410
-10.2683,149.6533,807,-10.2658,149.6592,496
-10.2758,150.7058,1765,-10.3108,150.6092,929
-10.28,151.0208,980,-10.3025,151.4533,980
-10.2883,123.7142,1679,-10.2658,123.7508,774
-10.29,150.5442,3438,-10.2867,150.505,1716
-10.29,149.8542,2030,-10.2858,149.8583,964
-10.2917,149.3808,754,-10.2867,149.3817,541
-10.2925,150.6742,1673,-10.29,150.6908,765
-10.2933,149.8125,2106,-10.2517,149.8208,1021
-10.295,149.4417,2234,-10.2458,149.4842,1696
-10.3092,150.1642,2785,-10.2775,150.1542,653
-10.3108,149.4783,1551,-10.3125,149.4683,518
-10.3125,149.8933,1673,-10.3125,149.9033,988
-10.3133,120.2067,997,-10.305,120.3167,997
-10.315,149.9808,1889,-10.3025,149.9642,623
-10.33,149.5358,1433,-10.3208,149.4983,735
-10.3358,151.8758,534,-10.5033,151.4442,534
-10.3408,149.5033,974,-10.3325,149.4992,548
-10.3475,150.0333,2230,-10.3367,150.0533,1030
-10.3492,149.4458,816,-10.3408,149.4533,784
-10.3625,149.5167,734,-10.3492,149.4933,669
